classifier,model1,model2,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,DenseNet121,DenseNet201,128,100,0.8340000000000001,0.8390000000000001,0.8340000000000001,0.8320000000000001,0.715,0.7490000000000001,0.715,0.732,0.981,0.981,0.019,0.285,0.251,0.978
RF,VGG19,MobileNet,256,50,0.833,0.855,0.833,0.8370000000000001,0.73,0.746,0.73,0.738,0.983,0.981,0.017,0.27,0.254,0.978
RF,VGG19,MobileNet,128,50,0.833,0.8490000000000001,0.833,0.836,0.737,0.706,0.737,0.721,0.983,0.981,0.017,0.263,0.294,0.978
RF,InceptionV3,MobileNet,256,50,0.833,0.8440000000000001,0.833,0.833,0.703,0.731,0.703,0.7170000000000001,0.982,0.981,0.018000000000000002,0.297,0.26899999999999996,0.978
RF,MobileNetV2,DenseNet121,256,500,0.833,0.841,0.833,0.8320000000000001,0.696,0.7440000000000001,0.696,0.7190000000000001,0.981,0.981,0.019,0.304,0.256,0.978
RF,ResNet152V2,MobileNetV2,256,100,0.833,0.841,0.833,0.831,0.705,0.768,0.705,0.735,0.98,0.981,0.02,0.295,0.23199999999999998,0.978
RF,ResNet50V2,MobileNetV2,256,500,0.833,0.841,0.833,0.83,0.6890000000000001,0.7829999999999999,0.6890000000000001,0.733,0.98,0.982,0.02,0.311,0.217,0.978
RF,InceptionV3,MobileNetV2,256,100,0.833,0.841,0.833,0.83,0.6809999999999999,0.7879999999999999,0.6809999999999999,0.731,0.9790000000000001,0.982,0.021,0.319,0.212,0.978
RF,VGG19,MobileNetV2,128,500,0.833,0.835,0.833,0.828,0.6809999999999999,0.7509999999999999,0.6809999999999999,0.7140000000000001,0.98,0.982,0.02,0.319,0.249,0.978
RF,VGG19,DenseNet169,128,50,0.8320000000000001,0.841,0.8320000000000001,0.8320000000000001,0.735,0.7120000000000001,0.735,0.723,0.982,0.981,0.018000000000000002,0.265,0.28800000000000003,0.978
RF,Xception,DenseNet169,256,50,0.8320000000000001,0.8420000000000001,0.8320000000000001,0.8320000000000001,0.71,0.723,0.71,0.716,0.981,0.981,0.019,0.29,0.27699999999999997,0.978
