classifier,model1,model2,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc,valid
RF,VGG19,DenseNet121,256,0.879,0.882,0.879,0.877,0.765,0.8240000000000001,0.765,0.7929999999999999,0.986,0.987,0.013999999999999999,0.235,0.17600000000000002,0.9840000000000001,1
RF,ResNet152V2,DenseNet121,256,0.879,0.884,0.879,0.8759999999999999,0.752,0.853,0.752,0.799,0.9840000000000001,0.988,0.016,0.248,0.147,0.9840000000000001,1
RF,ResNet101V2,DenseNet169,128,0.878,0.88,0.878,0.875,0.759,0.8390000000000001,0.759,0.797,0.985,0.987,0.015,0.24100000000000002,0.161,0.9840000000000001,1
RF,MobileNetV2,DenseNet201,128,0.878,0.878,0.878,0.875,0.7490000000000001,0.81,0.7490000000000001,0.778,0.985,0.987,0.015,0.251,0.19,0.9840000000000001,1
RF,VGG19,MobileNet,256,0.878,0.88,0.878,0.8740000000000001,0.7290000000000001,0.852,0.7290000000000001,0.7859999999999999,0.9840000000000001,0.988,0.016,0.271,0.14800000000000002,0.9840000000000001,1
RF,VGG16,DenseNet201,128,0.877,0.879,0.877,0.875,0.768,0.8109999999999999,0.768,0.789,0.985,0.986,0.015,0.23199999999999998,0.18899999999999997,0.9840000000000001,1
RF,ResNet152V2,DenseNet121,128,0.877,0.879,0.877,0.8740000000000001,0.76,0.846,0.76,0.8009999999999999,0.985,0.987,0.015,0.24,0.154,0.9840000000000001,1
RF,InceptionResNetV2,DenseNet169,256,0.877,0.877,0.877,0.871,0.73,0.852,0.73,0.7859999999999999,0.983,0.988,0.017,0.27,0.14800000000000002,0.9840000000000001,1
RF,VGG19,DenseNet201,128,0.8759999999999999,0.8759999999999999,0.8759999999999999,0.873,0.753,0.804,0.753,0.778,0.985,0.987,0.015,0.247,0.196,0.983,1
RF,InceptionV3,DenseNet201,128,0.8759999999999999,0.877,0.8759999999999999,0.873,0.757,0.823,0.757,0.789,0.9840000000000001,0.987,0.016,0.243,0.177,0.983,1
RF,Xception,DenseNet201,128,0.875,0.875,0.875,0.872,0.763,0.807,0.763,0.784,0.985,0.986,0.015,0.237,0.193,0.983,1
RF,VGG19,ResNet101V2,256,0.875,0.8759999999999999,0.875,0.8690000000000001,0.7190000000000001,0.846,0.7190000000000001,0.777,0.983,0.988,0.017,0.281,0.154,0.983,1
RF,ResNet50V2,MobileNetV2,256,0.875,0.8740000000000001,0.875,0.867,0.7090000000000001,0.86,0.7090000000000001,0.777,0.982,0.9890000000000001,0.018000000000000002,0.29100000000000004,0.14,0.983,1
RF,ResNet152V2,MobileNetV2,256,0.875,0.875,0.875,0.867,0.7020000000000001,0.884,0.7020000000000001,0.7829999999999999,0.982,0.9890000000000001,0.018000000000000002,0.298,0.11599999999999999,0.983,1
RF,ResNet50V2,DenseNet169,128,0.8740000000000001,0.878,0.8740000000000001,0.872,0.752,0.8220000000000001,0.752,0.785,0.985,0.986,0.015,0.248,0.17800000000000002,0.983,1
RF,ResNet152V2,DenseNet169,128,0.8740000000000001,0.875,0.8740000000000001,0.87,0.736,0.828,0.736,0.779,0.985,0.987,0.015,0.264,0.172,0.983,1
RF,ResNet50V2,ResNet152V2,256,0.8740000000000001,0.879,0.8740000000000001,0.866,0.6990000000000001,0.9009999999999999,0.6990000000000001,0.787,0.981,0.99,0.019,0.301,0.099,0.983,1
RF,VGG19,DenseNet121,128,0.873,0.879,0.873,0.872,0.774,0.809,0.774,0.7909999999999999,0.986,0.986,0.013999999999999999,0.226,0.191,0.983,1
RF,InceptionV3,DenseNet169,128,0.873,0.875,0.873,0.871,0.76,0.818,0.76,0.7879999999999999,0.985,0.986,0.015,0.24,0.182,0.983,1
RF,MobileNetV2,DenseNet169,128,0.873,0.875,0.873,0.87,0.74,0.813,0.74,0.775,0.9840000000000001,0.986,0.016,0.26,0.187,0.983,1
RF,VGG19,MobileNetV2,256,0.873,0.8740000000000001,0.873,0.868,0.715,0.847,0.715,0.775,0.982,0.987,0.018000000000000002,0.285,0.153,0.983,1
