classifier,model,image_size,n_components,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,DenseNet169,128,50,0.8540000000000001,0.865,0.8540000000000001,0.855,0.779,0.75,0.779,0.764,0.986,0.9840000000000001,0.013999999999999999,0.221,0.25,0.981
RF,VGG16,128,50,0.8540000000000001,0.86,0.8540000000000001,0.853,0.722,0.73,0.722,0.726,0.9840000000000001,0.985,0.016,0.278,0.27,0.981
RF,ResNet101V2,256,500,0.8540000000000001,0.8690000000000001,0.8540000000000001,0.852,0.711,0.826,0.711,0.764,0.981,0.9840000000000001,0.019,0.289,0.174,0.981
RF,MobileNet,128,50,0.853,0.862,0.853,0.853,0.746,0.743,0.746,0.7440000000000001,0.985,0.9840000000000001,0.015,0.254,0.257,0.98
RF,ResNet152V2,256,500,0.853,0.861,0.853,0.8490000000000001,0.7040000000000001,0.8240000000000001,0.7040000000000001,0.759,0.981,0.985,0.019,0.29600000000000004,0.17600000000000002,0.98
RF,MobileNetV2,128,500,0.852,0.852,0.852,0.845,0.705,0.797,0.705,0.748,0.981,0.9840000000000001,0.019,0.295,0.203,0.98
RF,DenseNet121,256,50,0.851,0.863,0.851,0.852,0.762,0.772,0.762,0.767,0.9840000000000001,0.983,0.016,0.23800000000000002,0.228,0.98
RF,DenseNet201,128,500,0.851,0.86,0.851,0.85,0.745,0.7959999999999999,0.745,0.77,0.983,0.983,0.017,0.255,0.204,0.98
RF,VGG16,128,500,0.851,0.8540000000000001,0.851,0.848,0.705,0.763,0.705,0.733,0.983,0.9840000000000001,0.017,0.295,0.237,0.98
RF,DenseNet169,256,1000,0.8490000000000001,0.867,0.8490000000000001,0.851,0.753,0.8079999999999999,0.753,0.78,0.983,0.982,0.017,0.247,0.192,0.98
RF,DenseNet121,128,100,0.8490000000000001,0.856,0.8490000000000001,0.8490000000000001,0.7559999999999999,0.755,0.7559999999999999,0.755,0.9840000000000001,0.983,0.016,0.244,0.245,0.98
RF,InceptionV3,256,100,0.8490000000000001,0.86,0.8490000000000001,0.848,0.708,0.7809999999999999,0.708,0.743,0.982,0.983,0.018000000000000002,0.292,0.21899999999999997,0.98
RF,VGG19,256,500,0.848,0.8540000000000001,0.848,0.845,0.7140000000000001,0.764,0.7140000000000001,0.738,0.983,0.983,0.017,0.28600000000000003,0.23600000000000002,0.98
RF,VGG19,128,500,0.847,0.853,0.847,0.846,0.727,0.768,0.727,0.747,0.982,0.983,0.018000000000000002,0.273,0.23199999999999998,0.98
RF,VGG16,128,1000,0.846,0.847,0.846,0.8320000000000001,0.627,0.861,0.627,0.726,0.976,0.987,0.024,0.373,0.139,0.9790000000000001
RF,MobileNetV2,128,50,0.845,0.857,0.845,0.847,0.746,0.752,0.746,0.7490000000000001,0.9840000000000001,0.983,0.016,0.254,0.248,0.9790000000000001
RF,VGG19,128,1000,0.845,0.843,0.845,0.8340000000000001,0.636,0.83,0.636,0.72,0.977,0.986,0.023,0.364,0.17,0.9790000000000001
RF,MobileNet,256,50,0.843,0.858,0.843,0.846,0.722,0.737,0.722,0.7290000000000001,0.985,0.983,0.015,0.278,0.263,0.9790000000000001
RF,ResNet50V2,256,500,0.843,0.857,0.843,0.841,0.703,0.804,0.703,0.75,0.981,0.983,0.019,0.297,0.196,0.9790000000000001
RF,Xception,256,100,0.8420000000000001,0.846,0.8420000000000001,0.8390000000000001,0.7140000000000001,0.7709999999999999,0.7140000000000001,0.741,0.981,0.983,0.019,0.28600000000000003,0.22899999999999998,0.9790000000000001
RF,VGG19,256,50,0.841,0.852,0.841,0.8420000000000001,0.737,0.727,0.737,0.732,0.983,0.982,0.017,0.263,0.273,0.9790000000000001
RF,MobileNetV2,256,1000,0.841,0.851,0.841,0.838,0.685,0.816,0.685,0.745,0.98,0.983,0.02,0.315,0.184,0.9790000000000001
RF,VGG19,128,50,0.84,0.85,0.84,0.841,0.736,0.741,0.736,0.738,0.983,0.982,0.017,0.264,0.259,0.9790000000000001
RF,DenseNet169,128,500,0.84,0.85,0.84,0.841,0.746,0.755,0.746,0.75,0.983,0.982,0.017,0.254,0.245,0.9790000000000001
RF,ResNet152V2,256,100,0.8390000000000001,0.848,0.8390000000000001,0.838,0.715,0.777,0.715,0.745,0.981,0.982,0.019,0.285,0.223,0.9790000000000001
RF,DenseNet169,128,1000,0.836,0.84,0.836,0.828,0.6409999999999999,0.82,0.6409999999999999,0.72,0.977,0.983,0.023,0.359,0.18,0.978
RF,InceptionV3,256,500,0.835,0.8390000000000001,0.835,0.826,0.667,0.809,0.667,0.731,0.977,0.983,0.023,0.33299999999999996,0.191,0.978
RF,DenseNet201,128,50,0.8340000000000001,0.8490000000000001,0.8340000000000001,0.8370000000000001,0.754,0.68,0.754,0.715,0.9840000000000001,0.981,0.016,0.24600000000000002,0.32,0.978
RF,MobileNet,128,1000,0.8340000000000001,0.8420000000000001,0.8340000000000001,0.8320000000000001,0.706,0.769,0.706,0.736,0.981,0.982,0.019,0.294,0.231,0.978
RF,DenseNet121,128,500,0.833,0.8390000000000001,0.833,0.83,0.705,0.7490000000000001,0.705,0.726,0.981,0.982,0.019,0.295,0.251,0.978
RF,DenseNet201,128,1000,0.833,0.838,0.833,0.826,0.6629999999999999,0.79,0.6629999999999999,0.721,0.978,0.982,0.022000000000000002,0.337,0.21,0.978
RF,MobileNetV2,128,1000,0.833,0.84,0.833,0.8240000000000001,0.6409999999999999,0.8440000000000001,0.6409999999999999,0.7290000000000001,0.976,0.983,0.024,0.359,0.156,0.978
RF,ResNet50V2,256,100,0.8320000000000001,0.8490000000000001,0.8320000000000001,0.8320000000000001,0.727,0.77,0.727,0.748,0.981,0.981,0.019,0.273,0.23,0.978
RF,DenseNet121,128,1000,0.8320000000000001,0.8320000000000001,0.8320000000000001,0.82,0.617,0.805,0.617,0.6990000000000001,0.976,0.983,0.024,0.38299999999999995,0.195,0.978
RF,Xception,256,500,0.83,0.8320000000000001,0.83,0.8240000000000001,0.69,0.774,0.69,0.73,0.978,0.981,0.022000000000000002,0.31,0.226,0.977
RF,InceptionResNetV2,256,500,0.8290000000000001,0.8370000000000001,0.8290000000000001,0.821,0.6509999999999999,0.8109999999999999,0.6509999999999999,0.722,0.976,0.981,0.024,0.349,0.18899999999999997,0.977
RF,MobileNetV2,256,50,0.8270000000000001,0.8490000000000001,0.8270000000000001,0.8320000000000001,0.708,0.73,0.708,0.7190000000000001,0.982,0.98,0.018000000000000002,0.292,0.27,0.977
RF,ResNet101V2,256,100,0.8270000000000001,0.846,0.8270000000000001,0.83,0.708,0.748,0.708,0.727,0.982,0.981,0.018000000000000002,0.292,0.252,0.977
RF,ResNet50V2,128,100,0.8270000000000001,0.841,0.8270000000000001,0.828,0.706,0.7170000000000001,0.706,0.711,0.981,0.981,0.019,0.294,0.28300000000000003,0.977
RF,InceptionResNetV2,128,100,0.8270000000000001,0.83,0.8270000000000001,0.8240000000000001,0.665,0.696,0.665,0.68,0.98,0.981,0.02,0.335,0.304,0.977
RF,MobileNet,256,1000,0.825,0.847,0.825,0.83,0.726,0.7609999999999999,0.726,0.743,0.982,0.98,0.018000000000000002,0.27399999999999997,0.239,0.977
RF,InceptionResNetV2,256,100,0.8240000000000001,0.8340000000000001,0.8240000000000001,0.8190000000000001,0.6609999999999999,0.7829999999999999,0.6609999999999999,0.7170000000000001,0.978,0.981,0.022000000000000002,0.33899999999999997,0.217,0.977
RF,VGG16,256,1000,0.823,0.838,0.823,0.8240000000000001,0.7,0.74,0.7,0.7190000000000001,0.981,0.98,0.019,0.3,0.26,0.976
